,id,facebook_id,page_name,page_type
0,0,145647315578475,The Voice of China 中国好声音,3
1,1,191483281412,U.S. Consulate General Mumbai,1
2,2,144761358898518,ESET,0
3,3,568700043198473,Consulate General of Switzerland in Montreal,1
4,4,1408935539376139,Mark Bailey MP - Labor for Miller,2
5,5,134464673284112,Victor Dominello MP,2
6,6,282657255260177,Jean-Claude Poissant,2
7,7,239338246176789,Deputado Ademir Camilo,2
8,8,544818128942324,T.C. Mezar-ı Şerif Başkonsolosluğu,1
9,9,285155655705,Army ROTC Fighting Saints Battalion,1
10,10,295294787190810,NASA Student Launch,1
11,11,837707072929819,Eliziane Gama,2
12,12,189778427932,Socialstyrelsen,1
13,13,153345494745119,Brisbane Water LAC - NSW Police Force,1
14,14,374623305761,NASA's Marshall Space Flight Center,1
15,15,135948233146402,Municipio de Lomas de Zamora,1
16,16,218961468129322,Die Techniker (TK),0
17,17,603089303044139,Digvijaya Singh,2
18,18,107219255341,1st Armored Division Sustainment Brigade,1
19,19,288891469878,Shapeways,0
20,20,200750393327673,Françoise Guégot,2
21,21,312378712151391,Hydro Coco,0
22,22,197257747038268,Embassy of the Netherlands in Uganda,1
23,23,121925517901889,Ford Danmark,0
24,24,127122004049986,Schweppes Australia,0
25,25,9615015947,TalkTalk,0
26,26,136577286212,National Institute of General Medical Sciences,1
27,27,220206968012871,Poppy Cat,3
28,28,77064798220,Tahiti Tourisme,0
29,29,314467271901260,Marriott Rewards,0
30,30,239470792802382,TeleCentro,0
31,31,1087372227969105,Ministerio de Comunicaciones de la República Argentina,1
32,32,115144905195604,Policía Nacional de los Colombianos,1
33,33,139151419572310,Lance Gooden,2
34,34,324560137683033,Ivan ŠTEFANEC,2
35,35,115178951868510,Omoda,0
36,36,334483838309,Sunrun,0
37,37,367794192480,NCBI - National Center for Biotechnology Information,1
38,38,312747342102625,T.C. Niamey Büyükelçiliği/ Ambassade de Turquie à Niamey,1
39,39,403071946500795,Tennessee Secretary of State,1
40,40,180099508994152,張宏陸,2
41,41,30577197161,Nuevo León Extraordinario,1
42,42,57816252527,Honey Bunches of Oats,0
43,43,216178818416755,St. Cloud VA Health Care System,1
44,44,1507698529534072,APB FOX,3
45,45,5830082681,Volaris,0
46,46,391321314263162,Eduardo Barbosa,2
47,47,518989818298491,Service de police de la Ville de Montréal - SPVM,1
48,48,327771217264764,Hotel Indigo,0
49,49,130096562306,Digicel,0
50,50,126291660767367,Alabama Ecological Services Field Office,1
51,51,346648178719588,Ulli Sima,2
52,52,1388741348032650,식샤를합시다,3
53,53,624417591001227,LION,0
54,54,123185828069517,Policía de Seguridad Aeroportuaria,1
55,55,141018599260302,Abendschau,3
56,56,378134195601552,"Historic Preservation Division, Illinois Department of Natural Resources",1
57,57,251539554450,KOHLER,0
58,58,676807905694191,Narragansett Fire Department,1
59,59,89324781720,Pat Toomey,2
60,60,1493838274166939,Jean Rioux,2
61,61,30968512668,Windows,0
62,62,153947391339205,Manolo Jiménez Salinas,2
63,63,445110972186788,Tune Hotels,0
64,64,277034555829293,Préfète de la Lozère,1
65,65,288263184580783,GoBank,0
66,66,190073274544,Green & Black's,0
67,67,1435115400134833,Jennifer Newman,2
68,68,128837483823282,SVT Kortfilm,3
69,69,248466702367,Toute la vérité,3
70,70,49649942718,Modern Marvels,3
71,71,1008920055906510,Monika Lazar,2
72,72,501375619956944,T.C. Boston Başkonsolosluğu-Turkish Consulate General in Boston,1
73,73,139782149374162,Benjamin Strasser,2
74,74,1430048157270238,Embajada de Rumania en Buenos Aires,1
75,75,395873323778271,"Headquarters and Headquarters Company (HHC), 16th Military Police Brigade",1
76,76,328510467254992,Lazada Super Moms,0
77,77,1415528252047590,Fernando Ruas,2
78,78,728733757210856,Victoria Prentis,2
79,79,537191503102185,11.22.63,3
80,80,1674951879426286,Національна поліція України,1
81,81,133074956714225,Jurado Nacional de Elecciones del Perú,1
82,82,345612838830323,Mike Nahan,2
83,83,117709338312950,RAF Recruitment,1
84,84,149038991834428,Ansbach Housing,1
85,85,236384066470140,The BCDA Group,1
86,86,113473582071850,Pirkka,0
87,87,1413528238883071,Ambassade du Canada en Islande,1
88,88,70710067457,"United States Embassy - Riga, Latvia",1
89,89,617957021581571,Michal Rozin מיכל רוזין,2
90,90,264070427050244,Stop Fraud Colorado,1
91,91,219150418186,3 Musketeers,0
92,92,181414785384715,EVA Airways Corp. 長榮航空,0
93,93,388614157893904,Vilson Covatti,2
94,94,112236298513,Export Gov,1
95,95,473799242678553,Fabiana Dadone,2
96,96,139152096100639,Noticias Univision Florida Central,3
97,97,698128143679780,Kevin Michel MLA,2
98,98,211815292207397,Soldier On / Sans Limites,1
99,99,296432197042477,Bericht aus Berlin,3
100,100,2046450978914607,Préfecture de police des Bouches-du-Rhône,1
101,101,104513569620273,The X Factor (USA),3
102,102,144128365625650,Ochsner Sport,0
103,103,169014523134260,林淑芬,2
104,104,1717735835107639,Ministerio de Educación de la Nación Argentina,1
105,105,133161833398584,Aviva,0
106,106,145794842231097,Chad Griffith - Lake Macquarie,2
107,107,151049292087611,Red Bull MOBILE,0
108,108,84890878270,Dan Drew,2
109,109,113077252063553,Bronisław Komorowski,2
110,110,180642835333445,CERT-RO,1
111,111,445821135487302,Inside Amy Schumer,3
112,112,131588424007,U.S. Presidential Scholars Program,1
113,113,404948826259784,Senator James McGrath,2
114,114,165787053523275,"Philippe Noguès, une voix de gauche",2
115,115,160653460701518,Crackets,0
116,116,440677362630997,Sebastian Galmarini,2
117,117,109295382430039,RECLAME,3
118,118,19027744005,Vesna Pusić,2
119,119,109735015743837,Barwy Szczęścia,3
120,120,123905300955489,Ejército Nacional de Colombia,1
121,121,236123129774435,"City of Fremont, CA Government",1
122,122,187586581285368,Procuraduría General de la República,1
123,123,440868732600680,USAID Pakistan,1
124,124,726315847385449,Doritos,0
125,125,503105919713649,Disneyland Jobs,0
126,126,124157780951417,ESET,0
127,127,354595427910013,GovX,0
128,128,243173360004,New York Style,0
129,129,173347701125,Governor Jan Brewer,2
130,130,172313069486470,USAID Eastern and Southern Caribbean,1
131,131,441049269272968,Bouchon Bistro,0
132,132,428205943882121,DON Smallgoods,0
133,133,135381669839242,Sandia National Labs,1
134,134,368446079376,Academy Sports + Outdoors,0
135,135,101777342866,AIDA,0
136,136,631919500263831,Canada and Iran,1
137,137,272511339506416,豐原監理站,1
138,138,121538151580066,Peter Kraus,2
139,139,770543166292392,Jumia,0
140,140,368704976650667,SoFlo TASTE,3
141,141,91116022514,White Collar,3
142,142,379228478788668,B&G Pickles & Peppers,0
143,143,1838800826401201,194th Wing,1
144,144,62894440884,Bajnai Gordon,2
145,145,177828029071801,Michael Leutert,2
146,146,1403712706511292,Uwe Schünemann MdL,2
147,147,134964869923261,MOPC Paraguay,1
148,148,144878942355905,New York City Law Department,1
149,149,319501934789059,KLM México,0
150,150,97279934919,BP America,0
151,151,786036081426888,Au secours de Béatrice,3
152,152,9885974987,Dragons' Den,3
153,153,594399277278367,hessenschau,3
154,154,61828104655,City of Kitchener,1
155,155,175986319185315,Kátia Abreu,2
156,156,1385983704957396,Jakob von Weizsäcker,2
157,157,216190061773271,US National Weather Service Blacksburg VA,1
158,158,380383308677595,Mirinda Arabia,0
159,159,167394579972573,JRTC and Fort Polk,1
160,160,443442745770466,Department of Transport,1
161,161,750282211721700,UR Orka plugga,3
162,162,232286700306917,Jayant Sinha,2
163,163,221774737965548,Cancelaria de Stat a Republicii Moldova,1
164,164,233815212529,Comunidad Movistar Argentina,0
165,165,102601993617906,German Consulate General Vancouver,1
166,166,655425904574963,Turkish Presidency,1
167,167,119837032950,US Embassy Abu Dhabi,1
168,168,172681179452841,Matrix Professional Haircare & Color,0
169,169,717846764913149,Laboratório Hacker - Câmara dos Deputados,1
170,170,632550910198276,صندوق أبوظبي للمعاشات,1
171,171,650700358287878,The Belgian Navy,1
172,172,289923924487,Ridestore,0
173,173,134470763282957,European Union in Israel,1
174,174,1617350448513550,Bosch Herramientas Eléctricas Profesionales y Accesorios,0
175,175,114445021926829,Deportes CNN,3
176,176,174970176018,Horacio Rodríguez Larreta,2
177,177,217552831709715,Ministerio de Trabajo El Salvador,1
178,178,554754457928212,Clangers,3
179,179,194981427216918,Hoka One One,0
180,180,268340433322523,Gavin Shuker MP,2
181,181,174298126352925,Peace Corps Comoros,1
182,182,773666216018465,NSW SES Glen Innes,1
183,183,189426624430626,Christchurch City Council,1
184,184,126442007429667,KLM Russia,0
185,185,28768797221,Ghost Whisperer,3
186,186,433213220061734,曹嘉豪,2
187,187,464998863536680,Bill Shorten MP,2
188,188,131890253529641,Black Hills VA Health Care System,1
189,189,196396587232007,"Ministry of Micro, Small and Medium Enterprises,Government of India",1
190,190,260507710718508,Vigor Brasil,0
191,191,205987562783277,Ruth Ellen Brosseau,2
192,192,152762631455280,Philippine Embassy in Thailand,1
193,193,167542776660532,Atmosphere,0
194,194,134780953231454,Região da capital dos EUA,0
